観	1529
常識	1529
肉体	1529
意見	1527
寂しい	1527
仙	1526
困難	1526
遣る	1524
殊に	1524
方向	1522
１	1520
無論	1520
衛門	1519
なんと	1519
天井	1519
客観	1518
うん	1517
うける	1517
折	1515
咲く	1515
台所	1514
教	1513
型	1510
非	1507
あまりに	1507
障子	1506
どちら	1505
理想	1505
翁	1504
是	1503
うい	1503
或は	1501
庵	1500
太陽	1499
御座る	1498
然	1498
流す	1496
流	1496
通	1496
諸君	1495
隠れる	1494
皮	1491
癖	1491
安	1491
まいる	1488
立	1488
食事	1487
かれは	1486
経つ	1485
アメリカ	1484
各	1484
まことに	1482
背後	1481
主張	1480
遅い	1480
恐怖	1477
まわり	1475
息子	1473
かねる	1470
婦	1468
犯人	1467
汗	1467
行動	1466
男女	1466
守る	1463
呉れる	1462
移る	1461
階段	1460
感	1459
士	1458
真面目	1455
恋愛	1455
難い	1454
ごろ	1454
有名	1454
それほど	1453
破る	1453
歌う	1451
遂に	1450
響く	1449
人民	1449
，	1447
其処	1446
こいつ	1444
駅	1443
家族	1443
真理	1442
柳	1442
ますます	1441
婆さん	1441
変える	1439
文芸	1437
平	1436
絹	1434
生産	1432
つれる	1432
生涯	1430
判断	1428
馬車	1427
清	1426
却って	1426
楽	1424
坂	1424
御覧	1422
感覚	1421
紳士	1421
神経	1421
汝	1419
まわす	1419
野郎	1419
意	1418
堪える	1418
根本	1417
迫る	1417
発展	1416
大抵	1414
同情	1414
書物	1413
燃える	1413
図	1413
始まる	1412
斯	1412
抜く	1409
合	1407
たちまち	1407
酔う	1407
艇	1406
冷たい	1406
付ける	1406
あらわれる	1405
役人	1405
附	1405
だり	1403
堂	1403
集まる	1402
もう一度	1401
野	1400
文章	1400
叱る	1400
ふる	1399
結構	1399
簡単	1398
たてる	1397
さる	1396
眉	1395
革命	1394
支配	1394
吐く	1394
矢代	1393
わずか	1392
いつか	1388
向かう	1386
かかわる	1383
熱心	1383
小僧	1383
恐れる	1382
人達	1382
訪ねる	1380
衣	1379
へえ	1378
都合	1377
習慣	1375
しく	1375
解釈	1373
薄い	1373
背中	1370
嬢	1368
抜ける	1368
重大	1367
救う	1366
情	1363
人口	1361
集める	1361
ドイツ	1361
人類	1360
下げる	1360
珍しい	1358
平気	1358
脚	1358
句	1357
批判	1356
舟	1356
言える	1354
いえる	1354
専門	1354
兵馬	1353
しいる	1353
成	1353
痛い	1353
館	1349
成功	1348
疑う	1348
やさしい	1347
週間	1345
激しい	1345
顔色	1345
熱	1343
時計	1341
責任	1340
那	1339
婆	1338
薄	1337
結ぶ	1337
可能	1335
意志	1335
たとえば	1334
界	1334
輝く	1333
とく	1333
員	1332
突く	1332
生徒	1331
多	1330
三月	1329
こしらえる	1328
ぶる	1328
此処	1328
喧嘩	1327
進歩	1326
能	1326
いっぱい	1326
影響	1324
多分	1323
拾う	1322
おろす	1320
猿	1318
幽霊	1317
休む	1316
命令	1316
畑	1315
不意	1315
改	1313
職業	1313
問う	1312
亭主	1311
返る	1310
ごらん	1309
僧	1308
病	1306
無事	1305
気味	1304
岸	1303
どうか	1303
望む	1302
失礼	1302
恐らく	1300
趣味	1299
片手	1299
どっち	1299
如何	1297
奪う	1297
感心	1297
避ける	1296
覚悟	1295
附ける	1294
印象	1293
嫁	1293
姫	1292
狐	1291
いかなる	1291
分の	1289
光景	1288
州	1288
正	1286
国家	1285
焼く	1284
生じる	1284
はあ	1283
年間	1282
信	1280
あいつ	1279
袋	1279
昼	1279
わざわざ	1279
藤	1278
条	1277
如く	1277
にゃ	1277
きめる	1276
をもって	1275
羽	1273
有様	1271
ことに	1269
そいつ	1268
からだ	1268
